name,user rating,Price,MS Office Provided,Dedicated Graphic Memory Capacity,SSD Capacity,Graphic Processor,Number of Cores,Operating System,Refresh Rate,Brand,Professional,Gaming,EveryDay,Processor,RAM(in GB),Price_Normalized,SSD Capacity (In Gb),SSD Capacity Normalized,Normalized review,Number of Cores_Normalized,HDD Capacity,HDD Capacity_Normalized,Price_Category,Pocket Friendly,Mid Range,High End,laptop_Link
"acer aspire 5 core i5 11th gen - (8 gb/512 gb ssd/windows 11 home) a515-56-51ev thin and light laptop  (15.6 inch, pure silver, 1.65 kg, with ms office)",4.2,52990,1,0,512 gb,intel integrated iris xe,4,windows,,acer,1,0,1,core i5 11th gen,8,0.129370629370629,512,0.2,0.75,0.230769230769231,0,0,Mid Range,0,1,0,https://m.media-amazon.com/images/I/81TAh-cxQyL._AC_UL320_.jpg
"acer aspire 5 core i5 11th gen - (8 gb/1 tb hdd/256 gb ssd/windows 10 home) a515-56 thin and light laptop  (15.6 inch, pure silver, 1.65 kg, with ms office)",3.9,53290,1,0,256 gb,intel integrated iris xe,4,windows,,acer,1,0,1,core i5 11th gen,8,0.13041958041958,256,0.0666666666666667,0.65625,0.230769230769231,0,0,Mid Range,0,1,0,https://m.media-amazon.com/images/I/71IfO70KcRL._AC_UL320_.jpg
"acer aspire 5 core i5 11th gen - (8 gb/1 tb hdd/256 gb ssd/windows 11 home) a515-56-56ln thin and light laptop  (15.6 inch, pure silver, 1.65 kg, with ms office)",4.4,54990,1,0,256 gb,intel integrated iris xe,4,windows,,acer,1,0,1,core i5 11th gen,8,0.136363636363636,256,0.0666666666666667,0.8125,0.230769230769231,0,0,Mid Range,0,1,0,https://m.media-amazon.com/images/I/51uVt6tSRPL._AC_UL320_.jpg
"acer travelmate core i5 11th gen - (16 gb/1 tb hdd/256 gb ssd/windows 10 home) travelmate p214-53 thin and light laptop  (14 inch, black, 1.68 kg)",3.4,62490,0,0,256 gb,intel integrated iris xe,6,windows,,acer,0,0,0,core i5 11th gen,16,0.162587412587413,256,0.0666666666666667,0.5,0.384615384615385,0,0,Mid Range,0,1,0,https://m.media-amazon.com/images/I/51uVt6tSRPL._AC_UL320_.jpg
"acer predator helios 300 core i7 11th gen - (16 gb/1 tb hdd/512 gb ssd/windows 10 home/6 gb graphics/nvidia geforce rtx 3060/165 hz) ph315-54 gaming laptop  (15.6 inch, abyssal black, 2.3 kg)",4.5,112990,0,6 gb,512 gb,nvidia geforce rtx 3060,8,windows,165 hz,acer,0,1,0,core i7 11th gen,16,0.339160839160839,512,0.2,0.84375,0.538461538461539,0,0,High End,0,0,1,https://m.media-amazon.com/images/I/51uVt6tSRPL._AC_UL320_.jpg
"acer predator helios 300 core i7 11th gen - (16 gb/1 tb ssd/windows 10 home/6 gb graphics/nvidia geforce rtx 3060/165 hz) ph315-54-78cp/ph315-54 gaming laptop  (15.6 inches, abyssal black, 2.3 kg)",4.5,129990,0,6 gb,1 tb,nvidia geforce rtx 3060,8,windows,165 hz,acer,0,1,0,core i7 11th gen,16,0.398601398601399,1024,0.466666666666667,0.84375,0.538461538461539,0,0,High End,0,0,1,https://m.media-amazon.com/images/I/51GGNToj7aL._AC_UL320_.jpg
"acer aspire 5 ryzen 5 hexa core amd ryzen 5-5500u hexa-core - (8 gb/512 gb ssd/windows 10 home) a515-45 thin and light laptop  (15.6 inch, pure silver, 1.76 kg, with ms office)",4.4,51990,1,0,512 gb,amd radeon 5500u,6,windows,,acer,1,0,1,,8,0.125874125874126,512,0.2,0.8125,0.384615384615385,0,0,Mid Range,0,1,0,https://m.media-amazon.com/images/I/715Sum+EpLL._AC_UL320_.jpg
"acer swift 3 ryzen 5 hexa core 5500u - (8 gb/512 gb ssd/windows 10 home) sf314-43 thin and light laptop  (14 inch, pure silver, 1.2 kg, with ms office)",4.6,56490,1,0,512 gb,amd radeon 5500u,6,windows,,acer,0,0,0,,8,0.141608391608392,512,0.2,0.875,0.384615384615385,0,0,Mid Range,0,1,0,https://m.media-amazon.com/images/I/81TAh-cxQyL._AC_UL320_.jpg
"acer travelmate core i3 11th gen - (8 gb/1 tb hdd/256 gb ssd/windows 10 home) travelmate p214-53 notebook  (14 inches, black, 1.68 kg)",4.2,43490,0,0,256 gb,intel integrated uhd,4,windows,,acer,0,0,0,core i3 11th gen,8,0.0961538461538462,256,0.0666666666666667,0.75,0.230769230769231,0,0,Mid Range,0,1,0,https://m.media-amazon.com/images/I/71IfO70KcRL._AC_UL320_.jpg
"acer travelmate core i5 11th gen - (8 gb/1 tb hdd/256 gb ssd/windows 10 home) travelmate p214-53 notebook  (14 inches, black, 1.68 kg)",3.6,52990,0,0,256 gb,intel integrated iris xe,6,windows,,acer,0,0,0,core i5 11th gen,8,0.129370629370629,256,0.0666666666666667,0.5625,0.384615384615385,0,0,Mid Range,0,1,0,https://m.media-amazon.com/images/I/51uVt6tSRPL._AC_UL320_.jpg
